Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P
1,18,LAL,NBA,SF,71,1103,.417,11.9,.437,.469,.469,.273,.460,.375
2,19,LAL,NBA,SF,79,2056,.428,12.2,.456,.613,.345,.347,.323,.341
3,20,LAL,NBA,SG,50,1896,.494,.720,.461,.394,.373,.267,.388,.704
4,21,LAL,NBA,SG,66,2524,.489,.683,.377,.397,.435,.319,.429,.652
5,22,LAL,NBA,SG,68,2783,.464,12.8,.489,.653,.409,.462,.410,.305
6,23,LAL,NBA,SG,80,3063,.469,12.0,.489,.658,.460,.450,.394,.250
7,24,LAL,NBA,SG,82,3401,.451,13.9,.465,.642,.426,.362,.420,.383
8,25,LAL,NBA,SG,65,2447,.438,11.9,.463,.609,.341,.390,.376,.327
9,26,LAL,NBA,SG,66,2689,.433,13.9,.472,.606,.427,.360,.384,.339
10,27,LAL,NBA,SG,80,3277,.450,15.1,.482,.598,.494,.455,.421,.347
11,28,LAL,NBA,SG,77,3140,.463,14.5,.497,.619,.468,.488,.426,.344
12,29,LAL,NBA,SG,82,3192,.459,14.4,.490,.637,.544,.436,.374,.361
13,30,LAL,NBA,SG,82,2960,.467,14.0,.496,.664,.461,.448,.424,.351
14,31,LAL,NBA,SG,73,2835,.456,13.5,.487,.581,.449,.483,.429,.329
15,32,LAL,NBA,SG,82,2779,.451,14.5,.487,.639,.490,.519,.368,.323
16,33,LAL,NBA,SG,58,2232,.430,15.0,.464,.688,.434,.403,.422,.303
17,34,LAL,NBA,SG,78,3013,.463,14.4,.510,.693,.462,.471,.402,.324
18,35,LAL,NBA,SG,6,177,.425,14.7,.491,.750,.556,.500,.278,.188
19,36,LAL,NBA,SG,35,1207,.373,15.7,.401,.567,.380,.311,.389,.293
20,37,LAL,NBA,SF,66,1863,.358,17.3,.410,.644,.398,.411,.312,.285

